iteration,likelihood
1.0,-373308.93141192535
10.0,-179147.043358679
20.0,-93004.76309786498
30.0,-56424.18965225778
40.0,-39127.57107807909
50.0,-29833.011595910688
60.0,-24131.96054942469
70.0,-20299.9648352584
80.0,-17548.95298620307
90.0,-15487.501729448817
100.0,-13884.56311927572
110.0,-12603.101004287872
120.0,-11556.770012330879
130.0,-10687.312739609133
140.0,-9954.177541118303
150.0,-9328.176119129994
160.0,-8787.760807169048
170.0,-8316.687874096951
180.0,-7902.501075649032
190.0,-7535.5109235429
200.0,-7208.08444903899
210.0,-6914.139954573961
220.0,-6648.780099315261
230.0,-6408.021416115268
240.0,-6188.592599011651
250.0,-5987.78339918078
260.0,-5803.328335483906
270.0,-5633.318387623906
280.0,-5476.132310304056
290.0,-5330.383304712362
300.0,-5194.877003831923
310.0,-5068.578330760576
320.0,-4950.585065215654
330.0,-4840.106653670324
340.0,-4736.447010122778
350.0,-4638.990640440649
360.0,-4547.191034760899
370.0,-4460.561276589977
380.0,-4378.666087562746
390.0,-4301.115197113782
400.0,-4227.557758668586
410.0,-4157.677541282705
420.0,-4091.1888775242705
430.0,-4027.833149795304
440.0,-3967.375767248991
450.0,-3909.6035346112612
460.0,-3854.322387428105
470.0,-3801.355383565995
480.0,-3750.5410174100866
490.0,-3701.731432084506
500.0,-3654.7914180659254
510.0,-3609.5970772817327
520.0,-3566.0345731504176
530.0,-3523.9993799456015
540.0,-3483.395368060251
550.0,-3444.1340266054935
560.0,-3406.1337943253075
570.0,-3369.3194147948793
580.0,-3333.62143230564
590.0,-3298.9756402575877
600.0,-3265.322646082192
610.0,-3232.607460392352
620.0,-3200.779123650504
630.0,-3169.7903727060225
640.0,-3139.597316678276
650.0,-3110.1591797609058
660.0,-3081.438034804496
670.0,-3053.3985778993188
680.0,-3026.007914724288
690.0,-2999.2353669388976
700.0,-2973.0523046642093
710.0,-2947.4319803038306
720.0,-2922.349383248518
730.0,-2897.781104214794
740.0,-2873.7052171946325
750.0,-2850.101168496639
760.0,-2826.949653818654
770.0,-2804.232560990637
780.0,-2781.9328531504516
790.0,-2760.0344996893923
800.0,-2738.5224078019814
810.0,-2717.3823405394805
820.0,-2696.600865178915
830.0,-2676.1653145632213
840.0,-2656.0636983489503
850.0,-2636.284683338765
860.0,-2616.817530754437
870.0,-2597.652069434581
880.0,-2578.778655489964
890.0,-2560.1881307098824
900.0,-2541.8717923563067
910.0,-2523.821397922222
920.0,-2506.0290267721475
930.0,-2488.487197816099
940.0,-2471.188789609423
950.0,-2454.1269425124156
960.0,-2437.29519146921
970.0,-2420.6873225074187
980.0,-2404.297388949111
990.0,-2388.1197092130806
1000.0,-2372.148855468763
1010.0,-2356.379608317483
1020.0,-2340.806969706151
1030.0,-2325.4261857817355
1040.0,-2310.2325821852223
1050.0,-2295.2218238185847
1060.0,-2280.3896355580173
1070.0,-2265.7319412550414
1080.0,-2251.244813746482
1090.0,-2236.9244881863287
1100.0,-2222.767310299744
1110.0,-2208.7697924702334
1120.0,-2194.928536148801
1130.0,-2181.2403031368654
1140.0,-2167.7019156167025
1150.0,-2154.310359874333
1160.0,-2141.0626900442585
1170.0,-2127.956077052222
1180.0,-2114.9877693230974
1190.0,-2102.155114983776
1200.0,-2089.4555368664774
1210.0,-2076.886562111787
1220.0,-2064.4457614407756
1230.0,-2052.1308228617045
1240.0,-2039.939452679717
1250.0,-2027.8694829410758
1260.0,-2015.9187720654008
1270.0,-2004.0852536650636
1280.0,-1992.3669222203353
1290.0,-1980.761808862172
1300.0,-1969.2680425847052
1310.0,-1957.8837717704155
1320.0,-1946.6071874223398
1330.0,-1935.4365635318159
1340.0,-1924.3702059267846
1350.0,-1913.406451121227
1360.0,-1902.543703091097
1370.0,-1891.7803979312848
1380.0,-1881.1150027013327
1390.0,-1870.5460327609117
1400.0,-1860.0720277267885
1410.0,-1849.6915887317973
1420.0,-1839.4033242598016
1430.0,-1829.205889835947
1440.0,-1819.0979797144084
1450.0,-1809.0783054616786
1460.0,-1799.1456225962309
1470.0,-1789.298696313455
1480.0,-1779.5363231837541
1490.0,-1769.8573589213624
1500.0,-1760.2606298907638
1510.0,-1750.7450368506943
1520.0,-1741.3094723837462
1530.0,-1731.9528899579022
1540.0,-1722.6742150794914
1550.0,-1713.4724500058146
1560.0,-1704.3465612877585
1570.0,-1695.2955834367162
1580.0,-1686.3185695432853
1590.0,-1677.4145300361001
1600.0,-1668.5825920545412
1610.0,-1659.821812562243
1620.0,-1651.1313029023609
1630.0,-1642.5102118187742
1640.0,-1633.957685842012
1650.0,-1625.4728821636413
1660.0,-1617.0549638972118
1670.0,-1608.703135498889
1680.0,-1600.4166030638487
1690.0,-1592.1945857959936
1700.0,-1584.0363207978635
1710.0,-1575.9410563134193
1720.0,-1567.908081841394
1730.0,-1559.9366470263499
1740.0,-1552.0260111490843
1750.0,-1544.1755419317044
1760.0,-1536.3845213364293
1770.0,-1528.6522495146523
1780.0,-1520.978105557529
1790.0,-1513.3614168101894
1800.0,-1505.8015257470015
1810.0,-1498.2978383143836
1820.0,-1490.8497199744538
1830.0,-1483.4565450181535
1840.0,-1476.1177251195463
1850.0,-1468.832665825383
1860.0,-1461.600787749225
1870.0,-1454.4215048973324
1880.0,-1447.2942611394224
1890.0,-1440.218512399891
1900.0,-1433.1937123480934
1910.0,-1426.2193111246302
1920.0,-1419.2947870484743
1930.0,-1412.4196163012853
1940.0,-1405.593276359851
1950.0,-1398.8153059672513
1960.0,-1392.0851077102384
1970.0,-1385.4023381818768
1980.0,-1378.7663857685002
1990.0,-1372.1768609130359
2000.0,-1365.6331144086648
2010.0,-1359.1347083273604
2020.0,-1352.6813423085769
2030.0,-1346.2725564634181
2040.0,-1339.9078781373246
2050.0,-1333.5868705322082
2060.0,-1327.3090743932185
2070.0,-1321.0740773066277
2080.0,-1314.881462078695
2090.0,-1308.7308171258617
2100.0,-1302.621711810926
2110.0,-1296.5537795561615
2120.0,-1290.526560726757
2130.0,-1284.5397053836214
2140.0,-1278.5928314629766
2150.0,-1272.6855343028437
2160.0,-1266.8174492275277
2170.0,-1260.9881975133044
2180.0,-1255.1974216992753
2190.0,-1249.444753756867
2200.0,-1243.729846287782
2210.0,-1238.0523523837082
2220.0,-1232.4118629129323
2230.0,-1226.8081128581766
2240.0,-1221.2406984193467
2250.0,-1215.7093497290284
2260.0,-1210.2136985729244
2270.0,-1204.7534287037279
2280.0,-1199.3282430394102
2290.0,-1193.9377731919085
2300.0,-1188.58174015164
2310.0,-1183.2598131070315
2320.0,-1177.9716993669736
2330.0,-1172.7170888954647
2340.0,-1167.4957035245402
2350.0,-1162.3072153838136
2360.0,-1157.1513240894296
2370.0,-1152.0277943440033
2380.0,-1146.93633104842
2390.0,-1141.8766316071924
2400.0,-1136.848408330941
2410.0,-1131.8513888481348
2420.0,-1126.8853573214715
2430.0,-1121.9499918105005
2440.0,-1117.045061478578
2450.0,-1112.1702834927473
2460.0,-1107.3253973794012
2470.0,-1102.5101689944113
2480.0,-1097.7243402805611
2490.0,-1092.9676704032413
2500.0,-1088.2398879412945
2510.0,-1083.540782531621
2520.0,-1078.8700911561114
2530.0,-1074.2275682614159
2540.0,-1069.6129985479047
2550.0,-1065.0261815142076
2560.0,-1060.4668497728685
2570.0,-1055.9347772833994
2580.0,-1051.4297645420106
2590.0,-1046.9515852229765
2600.0,-1042.4999949764815
2610.0,-1038.074802250686
2620.0,-1033.6758053428157
2630.0,-1029.3027956032415
2640.0,-1024.9555418264151
2650.0,-1020.6338387220976
2660.0,-1016.3374881377349
2670.0,-1012.0662921565113
2680.0,-1007.8200784226984
2690.0,-1003.5986253326774
2700.0,-999.4017498313792
2710.0,-995.2292526850877
2720.0,-991.0809486352181
2730.0,-986.9566514346685
2740.0,-982.8561888077496
2750.0,-978.7793656492964
2760.0,-974.7259861994921
2770.0,-970.695901594881
2780.0,-966.6889132757922
2790.0,-962.7048717257346
2800.0,-958.7435871972657
2810.0,-954.804916181268
2820.0,-950.8886362629689
2830.0,-946.994626294615
2840.0,-943.1226796989547
2850.0,-939.2726820512929
2860.0,-935.4444299413697
2870.0,-931.6378198522532
2880.0,-927.852663552663
2890.0,-924.0887890132038
2900.0,-920.3460667977231
2910.0,-916.6243321520628
2920.0,-912.9234453564372
2930.0,-909.2432599278546
2940.0,-905.5836022516993
2950.0,-901.944371554295
2960.0,-898.3253725087317
2970.0,-894.7264758333972
2980.0,-891.1475910368046
2990.0,-887.5885427517597
3000.0,-884.0491813818269
